condition,avoid,limit,recommend
diabetes,sugar|sweets|fried,white rice|potato,whole grains|dal|leafy vegetables
hypertension,salt|pickles,fried foods|butter,banana|oats|spinach
heart disease,fried foods|processed meat,egg yolk,oily foods,oats|walnuts|salmon
thyroid (hypothyroid),soy|raw cabbage,high fat foods,iodized salt|eggs|whole grains
thyroid (hyperthyroid),caffeine|smoked meat,high iodine foods,cruciferous vegetables|nuts
pcos,sugar|bakery,fried foods,low GI fruits|lean protein
asthma,cold drinks|fried foods,packaged snacks,warm soup|ginger|garlic
anemia,tea|coffee,milk products (with iron foods),spinach|beetroot|jaggery
obesity,fried|fast food,sweets,brown rice|salads|sprouts
kidney disease,salt|pickles,protein (limit),low potassium vegetables|white rice
